Date,USD,VIX
9/2/1991,347.95,14.46
9/3/1991,347.35,16.57
9/4/1991,348.70,17.18
9/5/1991,347.40,17.31
9/6/1991,348.05,16.76
9/9/1991,350.55,17.73
9/10/1991,351.70,18.22
9/11/1991,345.25,17.96
9/12/1991,346.10,16.21
9/13/1991,344.25,17.88
9/16/1991,345.40,17.82
9/17/1991,346.15,17.68
9/18/1991,348.30,17.56
9/19/1991,348.60,17.56
9/20/1991,348.60,17.08
9/23/1991,349.25,16.38
9/24/1991,351.90,16.04
9/25/1991,352.75,15.68
9/26/1991,351.90,15.35
9/27/1991,348.45,16.31
9/30/1991,354.90,15.85
10/1/1991,353.95,14.81
10/2/1991,356.00,15.81
10/3/1991,356.80,17.04
10/4/1991,356.30,15.63
10/7/1991,359.70,18.58
10/8/1991,357.60,17.81
10/9/1991,357.65,18.54
10/10/1991,359.50,17.80
10/11/1991,357.75,17.60
10/14/1991,358.50,16.71
10/15/1991,357.55,16.22
10/16/1991,356.55,14.85
10/17/1991,358.30,16.32
10/18/1991,359.60,15.87
10/21/1991,363.80,16.66
10/22/1991,362.35,16.55
10/23/1991,362.20,16.26
10/24/1991,361.00,15.62
10/25/1991,362.00,15.75
10/28/1991,358.50,15.45
10/29/1991,357.40,15.55
10/30/1991,359.35,15.46
10/31/1991,357.45,15.48
11/1/1991,357.75,15.60
11/4/1991,356.35,16.35
11/5/1991,356.55,16.48
11/6/1991,354.50,16.47
11/7/1991,354.50,15.97
11/8/1991,352.90,15.43
11/11/1991,354.90,14.89
11/12/1991,354.75,14.04
11/13/1991,356.55,13.95
11/14/1991,355.85,13.96
11/15/1991,355.50,21.18
11/18/1991,360.75,18.28
11/19/1991,363.00,20.34
11/20/1991,362.60,20.40
11/21/1991,364.30,19.11
11/22/1991,367.95,21.20
11/25/1991,369.10,21.92
11/26/1991,366.25,19.80
11/27/1991,367.10,19.84
11/28/1991,366.05,19.84
11/29/1991,366.30,20.26
12/2/1991,368.35,20.18
12/3/1991,362.90,19.70
12/4/1991,365.25,19.54
12/5/1991,364.75,20.19
12/6/1991,367.75,19.04
12/9/1991,370.70,19.74
12/10/1991,368.05,19.89
12/11/1991,366.50,20.57
12/12/1991,359.50,19.08
12/13/1991,359.05,17.88
12/16/1991,359.65,17.62
12/17/1991,357.40,18.12
12/18/1991,357.90,17.78
12/19/1991,358.90,17.96
12/20/1991,358.30,17.65
12/23/1991,359.65,16.61
12/24/1991,359.65,15.67
12/25/1991,359.65,15.67
12/26/1991,359.65,15.44
12/27/1991,353.30,15.70
12/30/1991,353.15,17.63
12/31/1991,353.15,19.31
1/1/1992,353.15,19.31
1/2/1992,350.90,18.95
1/3/1992,353.00,18.75
1/6/1992,349.40,18.96
1/7/1992,349.70,19.23
1/8/1992,350.60,18.72
1/9/1992,351.55,18.96
1/10/1992,357.90,18.45
1/13/1992,353.90,18.01
1/14/1992,353.60,17.01
1/15/1992,355.55,17.39
1/16/1992,356.75,17.64
1/17/1992,355.90,16.32
1/20/1992,358.75,16.42
1/21/1992,357.80,17.92
1/22/1992,356.75,16.75
1/23/1992,355.20,16.46
1/24/1992,353.25,16.24
1/27/1992,356.10,16.67
1/28/1992,356.30,17.67
1/29/1992,354.85,17.62
1/30/1992,356.00,17.49
1/31/1992,354.10,17.40
2/3/1992,356.40,18.20
2/4/1992,356.00,17.96
2/5/1992,354.30,18.22
2/6/1992,355.95,18.79
2/7/1992,356.20,18.51
2/10/1992,354.65,18.56
2/11/1992,356.00,17.70
2/12/1992,357.20,17.37
2/13/1992,356.30,17.45
2/14/1992,354.10,17.03
2/17/1992,354.35,17.03
2/18/1992,352.80,18.22
2/19/1992,353.20,17.16
2/20/1992,353.40,16.72
2/21/1992,351.60,16.87
2/24/1992,349.80,17.13
2/25/1992,350.50,16.35
2/26/1992,348.65,16.64
2/27/1992,353.75,16.51
2/28/1992,353.10,16.68
3/2/1992,350.45,16.88
3/3/1992,351.35,17.26
3/4/1992,350.15,17.89
3/5/1992,349.90,18.47
3/6/1992,349.40,19.75
3/9/1992,348.80,19.68
3/10/1992,348.35,18.68
3/11/1992,349.00,19.79
3/12/1992,347.60,19.72
3/13/1992,347.25,18.35
3/16/1992,343.00,18.46
3/17/1992,339.00,16.79
3/18/1992,340.30,16.69
3/19/1992,337.80,16.52
3/20/1992,338.80,16.82
3/23/1992,338.70,16.73
3/24/1992,338.40,16.32
3/25/1992,341.25,16.19
3/26/1992,340.40,16.29
3/27/1992,340.50,16.02
3/30/1992,343.30,15.97
3/31/1992,341.70,16.18
4/1/1992,344.00,16.48
4/2/1992,340.50,17.06
4/3/1992,340.60,16.72
4/6/1992,339.25,16.72
4/7/1992,338.75,18.81
4/8/1992,337.50,20.15
4/9/1992,338.45,17.89
4/10/1992,341.90,16.85
4/13/1992,340.80,16.99
4/14/1992,339.00,15.98
4/15/1992,338.95,15.15
4/16/1992,336.70,14.85
4/17/1992,336.70,14.85
4/20/1992,336.70,15.93
4/21/1992,338.30,16.53
4/22/1992,338.10,15.96
4/23/1992,338.50,15.83
4/24/1992,336.55,15.71
4/27/1992,335.70,16.49
4/28/1992,336.75,16.24
4/29/1992,335.70,15.95
4/30/1992,336.35,15.53
5/1/1992,337.50,16.61
5/4/1992,337.50,16.92
5/5/1992,336.75,16.66
5/6/1992,336.70,16.81
5/7/1992,336.05,16.54
5/8/1992,336.90,15.65
5/11/1992,336.15,15.17
5/12/1992,335.25,15.68
5/13/1992,335.20,15.19
5/14/1992,336.90,15.49
5/15/1992,339.00,14.82
5/18/1992,338.90,14.62
5/19/1992,339.50,13.57
5/20/1992,336.95,13.62
5/21/1992,337.25,13.92
5/22/1992,337.70,13.73
5/25/1992,337.70,13.73
5/26/1992,337.85,14.92
5/27/1992,338.60,13.99
5/28/1992,336.90,13.77
5/29/1992,337.50,13.86
6/1/1992,336.85,14.43
6/2/1992,339.00,14.57
6/3/1992,339.90,14.35
6/4/1992,338.40,13.66
6/5/1992,338.80,14.65
6/8/1992,338.70,15.19
6/9/1992,337.80,15.97
6/10/1992,337.65,16.62
6/11/1992,338.25,16.29
6/12/1992,339.60,14.95
6/15/1992,342.70,14.76
6/16/1992,342.35,15.22
6/17/1992,342.00,18.08
6/18/1992,341.25,18.20
6/19/1992,343.55,16.31
6/22/1992,342.50,16.66
6/23/1992,343.80,14.53
6/24/1992,342.30,14.40
6/25/1992,343.40,14.40
6/26/1992,343.50,14.67
6/29/1992,342.00,13.21
6/30/1992,343.40,13.35
7/1/1992,343.55,13.34
7/2/1992,347.10,13.88
7/3/1992,345.70,13.88
7/6/1992,346.60,14.87
7/7/1992,345.60,15.83
7/8/1992,347.50,15.53
7/9/1992,347.25,14.60
7/10/1992,348.70,13.70
